,estado,estado_ab,condado,partido,candidato,votos,fraccion_votos
1,Alabama,AL,Autauga,Democrat,Hillary Clinton,2387,0.8
3,Alabama,AL,Baldwin,Democrat,Hillary Clinton,5290,0.647
5,Alabama,AL,Barbour,Democrat,Hillary Clinton,2567,0.906
7,Alabama,AL,Bibb,Democrat,Hillary Clinton,942,0.755
9,Alabama,AL,Blount,Democrat,Hillary Clinton,564,0.551
11,Alabama,AL,Bullock,Democrat,Hillary Clinton,2451,0.913
13,Alabama,AL,Butler,Democrat,Hillary Clinton,2196,0.921
15,Alabama,AL,Calhoun,Democrat,Hillary Clinton,5011,0.765
17,Alabama,AL,Chambers,Democrat,Hillary Clinton,2899,0.886
19,Alabama,AL,Cherokee,Democrat,Hillary Clinton,712,0.661
21,Alabama,AL,Chilton,Democrat,Hillary Clinton,860,0.731
23,Alabama,AL,Choctaw,Democrat,Hillary Clinton,1772,0.802
25,Alabama,AL,Clarke,Democrat,Hillary Clinton,3148,0.93
27,Alabama,AL,Clay,Democrat,Hillary Clinton,807,0.818
29,Alabama,AL,Cleburne,Democrat,Hillary Clinton,221,0.732
31,Alabama,AL,Coffee,Democrat,Hillary Clinton,1493,0.772
33,Alabama,AL,Colbert,Democrat,Hillary Clinton,3879,0.65
35,Alabama,AL,Conecuh,Democrat,Hillary Clinton,2031,0.714
37,Alabama,AL,Coosa,Democrat,Hillary Clinton,1012,0.877
39,Alabama,AL,Covington,Democrat,Hillary Clinton,737,0.773
41,Alabama,AL,Crenshaw,Democrat,Hillary Clinton,908,0.878
43,Alabama,AL,Cullman,Democrat,Hillary Clinton,1275,0.608
45,Alabama,AL,Dale,Democrat,Hillary Clinton,1544,0.77
47,Alabama,AL,Dallas,Democrat,Hillary Clinton,8577,0.744
49,Alabama,AL,DeKalb,Democrat,Hillary Clinton,1297,0.629
51,Alabama,AL,Elmore,Democrat,Hillary Clinton,3019,0.801
53,Alabama,AL,Escambia,Democrat,Hillary Clinton,2027,0.885
55,Alabama,AL,Etowah,Democrat,Hillary Clinton,4262,0.746
57,Alabama,AL,Fayette,Democrat,Hillary Clinton,660,0.767
59,Alabama,AL,Franklin,Democrat,Hillary Clinton,1233,0.484
61,Alabama,AL,Geneva,Democrat,Hillary Clinton,544,0.749
63,Alabama,AL,Greene,Democrat,Hillary Clinton,2714,0.901
